,human,rt,typical_name,oddity_name,category,it,v4,pool3,pool4,pool5,fc6,fc7,fc8,check,marker
120,0.8620689655172413,3290.0689655172414,face0005,face0002,faces,0.42,0.45,0.37,0.37,0.37,0.41,0.41,0.4,"('face0005', 'face0002')",989
121,0.6285714285714286,3863.4857142857145,face0007,face0008,faces,0.21,0.14,0.33,0.33,0.33,0.42,0.43,0.49,"('face0007', 'face0008')",1081
122,0.8636363636363636,3114.5454545454545,_008,_004,chairs,1.0,0.46,0.43,0.43,0.43,1.0,1.0,0.97,"('_008', '_004')",358
123,0.8260869565217391,3005.695652173913,f16,_01_Airliner_2jetEngines,planes,0.63,0.37,0.27,0.27,0.27,0.46,0.53,0.38,"('f16', '_01_Airliner_2jetEngines')",667
124,0.8421052631578947,3076.5263157894738,_010,_011,chairs,0.31,0.4,0.18,0.18,0.18,0.16,0.15,0.12,"('_010', '_011')",401
125,0.8,2479.8,ELEPHANT_M,GORILLA,animals,0.53,0.42,0.24,0.24,0.24,0.97,0.99,0.92,"('ELEPHANT_M', 'GORILLA')",3
126,0.7391304347826086,3564.2608695652175,rdbarren,_05_future,planes,0.9,0.7,0.86,0.86,0.86,0.89,0.83,0.79,"('rdbarren', '_05_future')",777
127,0.7727272727272727,3788.5454545454545,sopwith,rdbarren,planes,0.61,0.35,0.57,0.57,0.57,0.67,0.57,0.51,"('sopwith', 'rdbarren')",839
128,0.7777777777777778,3363.814814814815,_008,_010,chairs,0.77,0.38,0.32,0.32,0.32,0.49,0.45,0.55,"('_008', '_010')",363
129,0.9,2093.4666666666667,blCow,TURTLE_L,animals,0.89,0.31,0.45,0.45,0.45,1.0,1.0,0.99,"('blCow', 'TURTLE_L')",193
130,0.8484848484848485,3017.878787878788,_008,_031,chairs,0.62,0.42,0.33,0.33,0.33,0.07,0.04,0.06,"('_008', '_031')",377
131,0.896551724137931,3095.448275862069,sopwith,_01_Airliner_2jetEngines,planes,0.77,0.34,0.62,0.62,0.62,0.97,0.95,0.95,"('sopwith', '_01_Airliner_2jetEngines')",807
132,0.88,2479.0,breed_pug,bear,animals,0.8,0.15,0.43,0.43,0.43,0.69,0.76,0.75,"('breed_pug', 'bear')",233
133,0.9545454545454546,2413.6363636363635,_031,_001,chairs,0.52,0.38,0.37,0.37,0.37,0.39,0.25,0.25,"('_031', '_001')",492
134,0.88,2611.72,face0003,face0005,faces,0.38,0.27,0.4,0.4,0.4,0.42,0.37,0.44,"('face0003', 'face0005')",929
135,0.8823529411764706,2246.8823529411766,_001,_010,chairs,0.67,0.43,0.4,0.4,0.4,0.87,0.88,0.74,"('_001', '_010')",293
136,0.7777777777777778,2708.962962962963,TURTLE_L,hedgehog,animals,0.99,0.75,0.51,0.51,0.51,0.94,0.87,0.95,"('TURTLE_L', 'hedgehog')",138
137,0.84,3278.16,junkers88,_01_Airliner_2jetEngines,planes,0.3,0.46,0.44,0.44,0.44,0.54,0.45,0.48,"('junkers88', '_01_Airliner_2jetEngines')",704
138,0.9583333333333334,1757.9166666666667,_004,_008,chairs,0.97,0.5,0.36,0.36,0.36,1.0,1.0,1.0,"('_004', '_008')",323
139,0.8571428571428571,3224.1785714285716,face0004,face0006,faces,0.08,0.17,0.39,0.39,0.39,0.39,0.39,0.28,"('face0004', 'face0006')",969
140,0.6129032258064516,3200.8709677419356,face0004,face0002,faces,0.63,0.38,0.42,0.42,0.42,0.48,0.53,0.47,"('face0004', 'face0002')",954
141,0.7272727272727273,4029.0,_19_flyingBoat,_05_future,planes,0.17,0.25,0.34,0.34,0.34,0.44,0.36,0.25,"('_19_flyingBoat', '_05_future')",637
142,0.8846153846153846,3369.769230769231,mig29,sopwith,planes,0.87,0.5,0.52,0.52,0.52,0.95,0.91,0.93,"('mig29', 'sopwith')",767
143,0.7407407407407407,3561.6296296296296,face0006,face0001,faces,0.27,0.42,0.34,0.34,0.34,0.26,0.29,0.26,"('face0006', 'face0001')",1018
144,0.8214285714285714,2862.1428571428573,_033,_008,chairs,0.69,0.25,0.45,0.45,0.45,0.46,0.4,0.41,"('_033', '_008')",538
145,0.9259259259259259,2231.740740740741,hedgehog,blCow,animals,0.84,0.63,0.37,0.37,0.37,0.89,0.94,0.91,"('hedgehog', 'blCow')",273
146,0.78125,2980.71875,face0008,face0007,faces,0.35,0.29,0.24,0.24,0.24,0.41,0.38,0.32,"('face0008', 'face0007')",1118
147,0.84,2754.56,face0008,face0006,faces,0.25,0.26,0.4,0.4,0.4,0.37,0.39,0.45,"('face0008', 'face0006')",1113
148,0.9523809523809523,2484.190476190476,GORILLA,hedgehog,animals,1.0,0.46,0.54,0.54,0.54,0.95,0.98,0.99,"('GORILLA', 'hedgehog')",68
149,0.6551724137931034,4119.3448275862065,face0007,face0003,faces,0.19,0.23,0.41,0.41,0.41,0.37,0.35,0.34,"('face0007', 'face0003')",1062
150,0.8333333333333334,2611.233333333333,_001,_031,chairs,0.87,0.47,0.32,0.32,0.32,0.8,0.82,0.79,"('_001', '_031')",309
151,0.88,3546.72,mig29,_05_future,planes,0.59,0.09,0.28,0.28,0.28,0.52,0.6,0.52,"('mig29', '_05_future')",744
152,0.8387096774193549,2499.2580645161293,_031,_033,chairs,0.35,0.29,0.26,0.26,0.26,0.49,0.51,0.56,"('_031', '_033')",523
153,0.9230769230769231,2020.1538461538462,blCow,ELEPHANT_M,animals,0.97,0.56,0.52,0.52,0.52,0.94,0.97,0.98,"('blCow', 'ELEPHANT_M')",179
154,0.9583333333333334,1997.8333333333333,bear,blCow,animals,0.44,0.23,0.37,0.37,0.37,1.0,1.0,1.0,"('bear', 'blCow')",164
155,0.8928571428571429,2897.714285714286,ELEPHANT_M,bear,animals,0.68,0.54,0.29,0.29,0.29,0.97,0.97,0.96,"('ELEPHANT_M', 'bear')",18
156,0.9523809523809523,1930.0,_011,_001,chairs,0.86,0.51,0.4,0.4,0.4,0.88,0.85,0.82,"('_011', '_001')",423
157,0.6333333333333333,4235.033333333334,mig29,f16,planes,0.11,0.16,0.33,0.33,0.33,0.33,0.29,0.22,"('mig29', 'f16')",754
158,0.8333333333333334,2248.6666666666665,_004,_014,chairs,0.61,0.3,0.44,0.44,0.44,0.81,0.66,0.51,"('_004', '_014')",339
159,0.8064516129032258,3610.483870967742,face0008,face0003,faces,0.55,0.39,0.56,0.56,0.56,0.48,0.47,0.5,"('face0008', 'face0003')",1098
160,0.8947368421052632,2483.5263157894738,TURTLE_L,blCow,animals,0.87,0.5,0.34,0.34,0.34,0.94,0.79,0.65,"('TURTLE_L', 'blCow')",129
161,0.9090909090909091,3052.2272727272725,_001,_004,chairs,0.97,0.47,0.49,0.49,0.49,0.99,0.99,0.97,"('_001', '_004')",284
162,0.8571428571428571,2977.035714285714,TURTLE_L,ELEPHANT_M,animals,0.52,0.83,0.39,0.39,0.39,0.93,0.93,0.95,"('TURTLE_L', 'ELEPHANT_M')",108
163,0.6666666666666666,3343.1666666666665,face0007,face0005,faces,0.43,0.43,0.4,0.4,0.4,0.4,0.37,0.4,"('face0007', 'face0005')",1074
164,0.6296296296296297,3306.3333333333335,face0005,face0006,faces,0.24,0.34,0.34,0.34,0.34,0.49,0.52,0.55,"('face0005', 'face0006')",1004
165,0.7,4874.3,_031,_011,chairs,0.64,0.2,0.41,0.41,0.41,0.77,0.81,0.85,"('_031', '_011')",513
